YYMM;YY;MM;Regions;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Production;Renouvelable;Balance
1408;14;8;PACA;6098187;240609;0;11419;256932;1561472;-6476;100240;2164196;1923587;-3933991
1408;14;8;PDL;3384811;148126;0;109135;81401;3629;0;51514;393805;245679;-2991006
1409;14;9;AURA;9363787;80022;14870694;97242;136716;3136498;-623682;116730;17814220;2863504;8450433
1409;14;9;B;2947630;2117;0;96477;39539;85672;-7326;42043;258522;256405;-2689108
1409;14;9;BFC;2958798;24750;0;39856;43985;132256;0;27432;268279;243529;-2690519
1409;14;9;CVDL;2579490;1501;9478528;146278;44644;5271;0;62902;9739124;259095;7159634
1409;14;9;GE;6662687;730007;15082766;349554;96561;1527514;-197544;68637;17657495;1844722;10994808
1409;14;9;HF;7548244;435893;5082229;239752;23594;1349;0;113521;5896338;378216;-1651906
1409;14;9;IDF;9754849;226014;0;3126;14769;9243;0;165444;418596;192582;-9336253
1409;14;9;N;3794282;331109;10836443;61971;24748;20264;0;93731;11368266;200714;7573984
1409;14;9;NlleA;5913712;30615;5594319;98777;284957;260745;0;194909;6464322;839388;550610
1409;14;9;O;5091339;10665;2866216;209420;267777;1129789;-385216;91886;4190537;1313656;-900802
1409;14;9;PACA;5855935;382616;0;15646;196046;1225215;-149;75591;1894965;1512349;-3960970
1409;14;9;PDL;3607438;592626;0;96120;83957;1689;0;59203;833595;240969;-2773843
1410;14;10;AURA;10109959;151024;14670718;105256;102159;3220388;-728289;131850;17653106;2831364;7543147
1410;14;10;B;3293781;14368;0;234567;23681;92290;-8669;50444;406681;392313;-2887100
1410;14;10;BFC;3340829;27801;0;55403;27794;79972;0;26387;217357;189556;-3123472
1410;14;10;CVDL;2905807;10804;11214695;223394;28146;16969;0;71729;11565737;340238;8659930
1410;14;10;GE;7466547;1543239;14353246;550406;58004;1363907;-225057;96628;17740373;1843888;10273826
1410;14;10;HF;8351425;687523;6065663;638776;14563;1419;0;107259;7515203;762017;-836222
1410;14;10;IDF;11100193;352987;0;5201;8162;11865;0;206974;585189;232202;-10515004
1410;14;10;N;4295132;363770;11919762;190474;14693;22163;0;52764;12563626;280094;8268494
1410;14;10;NlleA;6289668;49375;5694240;122982;224923;353198;0;210604;6655322;911707;365654
1410;14;10;O;5087646;8739;1547143;265659;224267;1215244;-455887;115672;2920837;1364955;-2166809
1410;14;10;PACA;5983356;802831;0;16056;159026;1162239;-96;86220;2226276;1423445;-3757080
1410;14;10;PDL;3975873;590028;0;140074;52660;1889;0;67629;852280;262252;-3123593
1411;14;11;AURA;11230582;416623;14668285;135241;50371;4447831;-798726;171266;19090891;4005983;7860309
1411;14;11;B;3805462;119386;0;250472;12637;104475;-9473;55340;532837;413451;-3272625
1411;14;11;BFC;3618258;165166;0;72787;15504;96606;0;30044;380107;214941;-3238151
1411;14;11;CVDL;3282289;104761;14268477;272380;15096;18000;0;77403;14756117;382879;11473828
1411;14;11;GE;8005145;1372382;16380481;688448;26480;1447959;-181257;117830;19852323;2099460;11847178
